5.785095700000000146e-02,2.000000000000000042e-02,6.055278749869897892e-01,2.500000000000000052e-03,1.365000000000000000e+02,2.340000000000000066e-03
2.664706099999999966e-02,4.000000000000000083e-02,-8.667670910519801319e-01,1.899999999999999996e-03,1.095000000000000000e+02,2.680000000000000090e-03
8.744026800000000155e-02,1.200000000000000025e-02,-8.667670910519801319e-01,4.000000000000000083e-03,6.900000000000000000e+01,1.850000000000000082e-03
1.572144899999999845e-02,2.400000000000000050e-02,8.395943674184846994e-02,3.700000000000000164e-03,1.500000000000000000e+01,1.920000000000000049e-03
5.807369099999999673e-02,2.000000000000000042e-02,-6.928958219201650781e-01,3.099999999999999891e-03,9.600000000000000000e+01,2.099999999999999870e-03
1.217272800000000071e-02,4.000000000000000083e-02,-1.978135740042682167e-01,2.500000000000000052e-03,2.850000000000000000e+01,2.340000000000000066e-03
2.786629599999999873e-02,2.400000000000000050e-02,-1.978135740042682167e-01,1.600000000000000077e-03,5.550000000000000000e+01,2.919999999999999853e-03
1.456496449999999943e-01,4.000000000000000083e-03,8.037754597109739718e-01,3.399999999999999811e-03,6.900000000000000000e+01,2.010000000000000068e-03
3.012514200000000059e-02,3.200000000000000067e-02,8.037754597109739718e-01,2.200000000000000133e-03,1.230000000000000000e+02,2.490000000000000026e-03
3.448887700000000112e-02,3.200000000000000067e-02,9.379947521194414994e-01,2.799999999999999972e-03,1.365000000000000000e+02,2.210000000000000159e-03
7.827251000000000347e-02,1.200000000000000025e-02,9.379947521194414994e-01,1.899999999999999996e-03,1.230000000000000000e+02,2.680000000000000090e-03
7.658862299999999457e-02,2.000000000000000042e-02,3.590442868911160601e-01,4.000000000000000083e-03,1.500000000000000000e+02,1.850000000000000082e-03
6.846901099999999629e-02,8.000000000000000167e-03,-8.667670910519801319e-01,3.399999999999999811e-03,2.850000000000000000e+01,2.010000000000000068e-03
1.107212830000000037e-01,8.000000000000000167e-03,-6.928958219201650781e-01,2.500000000000000052e-03,8.250000000000000000e+01,2.340000000000000066e-03
2.408038100000000140e-02,3.200000000000000067e-02,6.055278749869897892e-01,3.700000000000000164e-03,6.900000000000000000e+01,1.920000000000000049e-03
2.872985000000000122e-02,1.600000000000000033e-02,-6.928958219201650781e-01,1.000000000000000021e-03,1.500000000000000000e+01,3.700000000000000164e-03
5.140021300000000015e-02,1.600000000000000033e-02,-9.715921906288021992e-01,4.000000000000000083e-03,4.200000000000000000e+01,1.850000000000000082e-03
3.552680899999999947e-02,3.200000000000000067e-02,-9.990208133146479819e-01,4.000000000000000083e-03,6.900000000000000000e+01,1.850000000000000082e-03
2.015328900000000131e-02,3.200000000000000067e-02,-9.990208133146479819e-01,2.500000000000000052e-03,2.850000000000000000e+01,2.340000000000000066e-03
1.230786999999999992e-01,4.000000000000000083e-03,-9.990208133146479819e-01,4.000000000000000083e-03,2.850000000000000000e+01,1.850000000000000082e-03
2.452088499999999921e-02,2.800000000000000058e-02,9.379947521194414994e-01,2.200000000000000133e-03,6.900000000000000000e+01,2.490000000000000026e-03
4.546042000000000138e-02,2.000000000000000042e-02,-6.928958219201650781e-01,2.799999999999999972e-03,6.900000000000000000e+01,2.210000000000000159e-03
4.108628400000000069e-02,2.000000000000000042e-02,9.379947521194414994e-01,4.000000000000000083e-03,6.900000000000000000e+01,1.850000000000000082e-03
2.129055100000000131e-02,3.200000000000000067e-02,3.590442868911160601e-01,3.700000000000000164e-03,5.550000000000000000e+01,1.920000000000000049e-03
